name,grade,category,lat,lon
명석고등학교,고등학교,대전광역시동부교육지원청,36.35298746,127.4542462
구즉초등학교,초등학교,대전광역시서부교육지원청,36.44098571,127.3827598
대전천동초등학교,초등학교,대전광역시동부교육지원청,36.31621966,127.4455165
대전신흥초등학교,초등학교,대전광역시동부교육지원청,36.32606492,127.4404883
대전지족중학교,중학교,대전광역시서부교육지원청,36.37793595,127.3208044
대전과학고등학교,고등학교,대전광역시서부교육지원청,36.37419466,127.3714358
대덕중학교,중학교,대전광역시서부교육지원청,36.37946132,127.3775175
한밭중학교,중학교,대전광역시동부교육지원청,36.33490751,127.4266301
대전양지초등학교,초등학교,대전광역시동부교육지원청,36.36551971,127.4337958
대전대정초등학교,초등학교,대전광역시서부교육지원청,36.31528912,127.3232652
대전전자디자인고등학교,고등학교,대전광역시서부교육지원청,36.41298349,127.3770167
대전송촌중학교,중학교,대전광역시동부교육지원청,36.36405796,127.4434344
대전목동초등학교,초등학교,대전광역시동부교육지원청,36.3349537,127.408615
동아마이스터고등학교,고등학교,대전광역시동부교육지원청,36.34466315,127.4545998
새일초등학교,초등학교,대전광역시동부교육지원청,36.43179073,127.4195507
충남고등학교,고등학교,대전광역시서부교육지원청,36.34997951,127.3942722
대전봉명중학교,중학교,대전광역시서부교육지원청,36.34964791,127.344931
대전노은초등학교,초등학교,대전광역시서부교육지원청,36.3692032,127.3208092
대전예술고등학교,고등학교,대전광역시서부교육지원청,36.34695405,127.33356
대전도마초등학교,초등학교,대전광역시서부교육지원청,36.32382273,127.3712343
대전관저중학교,중학교,대전광역시서부교육지원청,36.30572428,127.3396966
대전도솔초등학교,초등학교,대전광역시서부교육지원청,36.31121399,127.3474788
대전태평초등학교,초등학교,대전광역시동부교육지원청,36.3230373,127.3949196
대전새미래중학교,중학교,대전광역시서부교육지원청,36.37923467,127.3051004
갈마중학교,중학교,대전광역시서부교육지원청,36.34848881,127.3648403
대전판암초등학교,초등학교,대전광역시동부교육지원청,36.31566712,127.4609049
대전갑천중학교,중학교,대전광역시서부교육지원청,36.36194589,127.3691623
대전상지초등학교,초등학교,대전광역시서부교육지원청,36.37539114,127.3221702
대전제일고등학교,고등학교,대전광역시서부교육지원청,36.31331472,127.3723589
대전원평초등학교,초등학교,대전광역시동부교육지원청,36.32210109,127.3997438
대전삼육중학교,중학교,대전광역시서부교육지원청,36.31184344,127.3724191
대전대문초등학교,초등학교,대전광역시동부교육지원청,36.30631938,127.4007346
흥도초등학교,초등학교,대전광역시서부교육지원청,36.33446649,127.3386971
대전송림초등학교,초등학교,대전광역시서부교육지원청,36.38896814,127.3322565
대전전민중학교,중학교,대전광역시서부교육지원청,36.4015563,127.4054691
대전동신과학고등학교,고등학교,대전광역시동부교육지원청,36.33285837,127.4743002
대전대성중학교,중학교,대전광역시동부교육지원청,36.331971,127.4070779
대전두리초등학교,초등학교,대전광역시서부교육지원청,36.4292747,127.3823802
대전도시과학고등학교,고등학교,대전광역시서부교육지원청,36.29751392,127.3199445
대전어은중학교,중학교,대전광역시서부교육지원청,36.36600526,127.3529132
우송고등학교,고등학교,대전광역시동부교육지원청,36.33562875,127.4428489
대전자운초등학교,초등학교,대전광역시서부교육지원청,36.41251496,127.3374303
계룡디지텍고등학교,고등학교,대전광역시동부교육지원청,36.33762549,127.4344749
대전월평중학교,중학교,대전광역시서부교육지원청,36.3566482,127.3674693
대전노은고등학교,고등학교,대전광역시서부교육지원청,36.36939669,127.3232157
대전계산초등학교,초등학교,대전광역시서부교육지원청,36.34416827,127.2994545
대전수미초등학교,초등학교,대전광역시서부교육지원청,36.29528588,127.3615429
한밭여자중학교,중학교,대전광역시동부교육지원청,36.33016869,127.4488209
대전산성초등학교,초등학교,대전광역시동부교육지원청,36.29927134,127.3864685
대덕소프트웨어마이스터고등학교,고등학교,대전광역시서부교육지원청,36.39202633,127.3630148
대전삼천초등학교,초등학교,대전광역시서부교육지원청,36.3543693,127.4010155
대전괴정고등학교,고등학교,대전광역시서부교육지원청,36.34040306,127.3788431
세천초등학교,초등학교,대전광역시동부교육지원청,36.34184828,127.4937909
대전서중학교,중학교,대전광역시서부교육지원청,36.3364274,127.374561
대전상대초등학교,초등학교,대전광역시서부교육지원청,36.34765435,127.3366134
대전비래초등학교,초등학교,대전광역시동부교육지원청,36.36158234,127.450843
대전대양초등학교,초등학교,대전광역시동부교육지원청,36.36131158,127.4403067
대전구봉중학교,중학교,대전광역시서부교육지원청,36.30041393,127.3301539
대전신평초등학교,초등학교,대전광역시동부교육지원청,36.32351194,127.3889397
남선초등학교,초등학교,대전광역시서부교육지원청,36.28757097,127.2642395
대전구봉초등학교,초등학교,대전광역시서부교육지원청,36.29973119,127.3300558
대전내동초등학교,초등학교,대전광역시서부교육지원청,36.33114635,127.3792397
와동초등학교,초등학교,대전광역시동부교육지원청,36.39720601,127.4222921
대전변동초등학교,초등학교,대전광역시서부교육지원청,36.32497415,127.3856136
대전버드내중학교,중학교,대전광역시서부교육지원청,36.31732823,127.3834896
대전문성초등학교,초등학교,대전광역시동부교육지원청,36.30867591,127.3908175
대전성천초등학교,초등학교,대전광역시서부교육지원청,36.3631454,127.373481
진잠초등학교,초등학교,대전광역시서부교육지원청,36.29952826,127.3150857
금성초등학교,초등학교,대전광역시서부교육지원청,36.38911606,127.3508683
대전석교초등학교,초등학교,대전광역시동부교육지원청,36.30862078,127.4458211
대전덕명중학교,중학교,대전광역시서부교육지원청,36.34588695,127.30269
대전선화초등학교,초등학교,대전광역시동부교육지원청,36.33243772,127.4244891
대전탄방중학교,중학교,대전광역시서부교육지원청,36.35044287,127.394387
회덕중학교,중학교,대전광역시동부교육지원청,36.40116218,127.4258058
대전정림중학교,중학교,대전광역시서부교육지원청,36.29385348,127.360996
대전갈마초등학교,초등학교,대전광역시서부교육지원청,36.35593389,127.3689949
대전신일중학교,중학교,대전광역시동부교육지원청,36.30917839,127.4345256
대전신계중학교,중학교,대전광역시서부교육지원청,36.3019566,127.3770392
봉암초등학교,초등학교,대전광역시서부교육지원청,36.3640862,127.3477313
대덕고등학교,고등학교,대전광역시서부교육지원청,36.38757339,127.3816844
대전노은중학교,중학교,대전광역시서부교육지원청,36.37004922,127.3242358
문지초등학교,초등학교,대전광역시서부교육지원청,36.39605161,127.3993436
청란여자중학교,중학교,대전광역시동부교육지원청,36.31073792,127.4295277
대전대신초등학교,초등학교,대전광역시동부교육지원청,36.31562837,127.4209326
유성중학교,중학교,대전광역시서부교육지원청,36.34589364,127.3347496
대전중촌초등학교,초등학교,대전광역시동부교육지원청,36.341067,127.4108287
대전신일여자고등학교,고등학교,대전광역시동부교육지원청,36.30866941,127.4334058
유성초등학교,초등학교,대전광역시서부교육지원청,36.36259129,127.3327354
대전보운초등학교,초등학교,대전광역시동부교육지원청,36.31468892,127.4321174
대전원앙초등학교,초등학교,대전광역시서부교육지원청,36.31153929,127.3371345
대전용운중학교,중학교,대전광역시동부교육지원청,36.32556291,127.4649845
대전외삼중학교,중학교,대전광역시서부교육지원청,36.39414482,127.3101456
대전전민고등학교,고등학교,대전광역시서부교육지원청,36.39833683,127.3983327
대전동산중학교,중학교,대전광역시동부교육지원청,36.31611842,127.4044918
대전복수고등학교,고등학교,대전광역시서부교육지원청,36.30377161,127.3735857
대전법동중학교,중학교,대전광역시동부교육지원청,36.36652684,127.4335276
대전괴정중학교,중학교,대전광역시서부교육지원청,36.34040306,127.3788431
대덕초등학교도룡분교장,초등학교,대전광역시서부교육지원청,36.37875664,127.3914507
